JOB_TITLE,JOB_CODE
"INVESTIGATOR, OFFICE OF CITIZEN COMPLAINTS",8124
"INVESTIGATOR, TAX COLLECTOR",4334
"INVESTIGATOR, TAXI AND ACCESSIBLE SERVICES",9144
"INVESTIGATOR,FIRE DEPT",H006
IS ADMINISTRATOR I,1021
IS ADMINISTRATOR II,1022
IS ADMINISTRATOR III,1023
IS ADMINISTRATOR-SUPERVISOR,1024
IS BUSINESS ANALYST,1052
IS BUSINESS ANALYST-ASSISTANT,1051
IS BUSINESS ANALYST-PRINCIPAL,1054
IS BUSINESS ANALYST-SENIOR,1053
IS ENGINEER-ASSISTANT,1041
IS ENGINEER-JOURNEY,1042
IS ENGINEER-PRINCIPAL,1044
IS ENGINEER-SENIOR,1043
IS MANAGER,1071
IS OPERATOR ASSISTANT,1001
IS OPERATOR-JOURNEY,1002
IS OPERATOR-SENIOR,1003
IS PROGRAM ANALYST-ASSISTANT,1061
IS PROGRAMMER ANALYST,1062
IS PROGRAMMER ANALYST-PRINCIPAL,1064
IS PROGRAMMER ANALYST-SENIOR,1063
IS PROJECT DIRECTOR,1070
IS TECHNICIAN-ASSISTANT,1011
IS TRAINER-ASSISTANT,1031
IS TRAINER-JOURNEY,1032
IS TRAINER-SENIOR,1033
IT OPERATIONS SUPPORT ADMINISTRATOR I,1091
IT OPERATIONS SUPPORT ADMINISTRATOR II,1092
IT OPERATIONS SUPPORT ADMINISTRATOR III,1093
IT OPERATIONS SUPPORT ADMINISTRATOR IV,1094
IT OPERATIONS SUPPORT ADMINISTRATOR V,1095
JANITORIAL SERVICES ASSISTANT SUPERVISOR,2719
JANITORIAL SERVICES SUPERVISOR,2720
JUNIOR ADMINISTRATIVE ANALYST,1820
JUNIOR CLERK,1402
JUNIOR CLERK TYPIST,1422
JUNIOR ENGINEER,5201
JUNIOR MANAGEMENT ASSISTANT,1840
LABOR AND EMPLOYMENT ADVISOR,9979
"LABOR RELATIONS REPRESENTATIVE, SFMTA",9530
"LABOR RELATIONS REPRESENTATIVE, SFUSD",1260
LABORATORY SERVICES MANAGER,2489
LABORATORY TECHNICIAN I,2402
LABORATORY TECHNICIAN II,2416
LAND USE AIDE,3406
LANDSCAPE ARCHITECT,5274
LANDSCAPE ARCHITECTURAL ASSOCIATE 1,5262
LANDSCAPE ARCHITECTURAL ASSOCIATE 2,5272
LAW LIBRARIAN,180
LEGAL ASSISTANT,8173
LEGAL PROCESS CLERK,8106
LEGAL SECRETARY I,1458
LEGAL SECRETARY II,1460
LEGISLATIVE ASSISTANT,1835
"LEGISLATIVE ASSISTANT, CITY ATTORNEYS OFFICE",8169
LEGISLATIVE CALENDAR CLERK,8116
LEGISLATIVE CLERK,8118
"LEGISLATIVE SECRETARY, BOARD OF EDUCATION",1459
LIBRARIAN I,3630
LIBRARIAN II,3632
LIBRARIAN II- ASIAN ARTS,3633
LIBRARIAN III,3634
LIBRARY ASSISTANT,3610
LIBRARY PAGE,3602
LIBRARY TECHNICAL ASSISTANT I,3616
LIBRARY TECHNICAL ASSISTANT II,3618
LICENSED VOCATIONAL NURSE,2312
"LIEUT, DIVISION OF TRAINING",H028
"LIEUT,FIRE INVSTGTN",H024
"LIEUT,FIRE PREV",H022
LIEUTENANT (POLICE DEPARTMENT),Q060
"LIEUTENANT, EMERGENCY MEDICAL SERVICES",H023
"LIEUTENANT, FIRE SUPPRESSION",H020
LIGHT RAIL VEHICLE EQUIPMENT ENGINEER,9195
LIGHTING FIXTURE MAINTENANCE WORKER,7510
LINE INSPECTOR,6252
LOCKSMITH,7342
LOCKSMITH SUPERVISOR I,7236
MAIL AND REPRODUCTION SERVICE SUPERVISOR,1764
MAINTENANCE CONTROLLER,7340
MAINTENANCE MACHINIST,7332
MAINTENANCE MACHINIST ASSISTANT SUPERVISOR,7337
MAINTENANCE MACHINIST HELPER,7434
MAINTENANCE MACHINIST SUPERVISOR I,7258
MAINTENANCE MANAGER,7263
MAINTENANCE PLANNER,7262
MAINTENANCE SCHEDULER,7219
MANAGEMENT ASSISTANT,1842
MANAGEMENT ASSISTANT II (OCII),O035
MANAGEMENT ASSISTANT III (OCII),O030
MANAGER I,922
"MANAGER I, MUNICIPAL TRANSPORTATION AGENCY",9175
"MANAGER I, SFCCD",981
"MANAGER I, SFUSD",991
MANAGER II,923
"MANAGER II, MUNICIPAL TRANSPORTATION AGENCY",9172
"MANAGER II, SFCCD",982
"MANAGER II, SFUSD",992
MANAGER III,931
"MANAGER III, MUNICIPAL TRANSPORTATION AGENCY",9177
MANAGER IV,932
"MANAGER IV, MUNICIPAL TRANSPORTATION AGENCY",9174
"MANAGER OF LABOR RELATIONS, SFUSD",1262
MANAGER OF MUSEUM SECURITY SERVICES,8229
MANAGER V,933
"MANAGER V, MUNICIPAL TRANSPORTATION AGENCY",9179
MANAGER VI,941
"MANAGER VI, MUNICIPAL TRANSPORTATION AGENCY",9180
MANAGER VII,942
"MANAGER VII, MUNICIPAL TRANSPORTATION AGENCY",9181
"MANAGER VII, SFCCD",987
MANAGER VIII,943
"MANAGER VIII, MUNICIPAL TRANSPORATION AGENCY",9182
"MANAGER, ACCESSIBLE SERVICES",9146
"MANAGER, DEPARTMENT OF PUBLIC HEALTH",1165
"MANAGER, EMPLOYEE RELATIONS DIVISION",1282
"MANAGER, INTAKE CENTER, SAN FRANCISCO UNIFIED SCHOOL DISTRICT",2981
"MANAGER, RECRUITMENT AND CREDENTIALS UNIT, S.F.U.S.D.",2980
"MANAGER, TRAFFIC PAINTING PROGRAM",5301
MANAGING DIRECTOR,1116
MARINA ASSISTANT,3232
MARINA ASSOCIATE MANAGER,3233
MARINE ENGINEER OF FIRE BOATS,H110
MARITIME MARKETING REPRESENTATIVE,9393
"MARKET RESEARCH SPECIALISTS, PORT",9376
"MARRIAGE, FAMILY AND CHILD COUNSELOR",2931
MATERIALS AND SUPPLIES SUPERVISOR,1924
MATERIALS COORDINATOR,1944
MATERIALS TESTING AIDE,5304
MATERIALS TESTING TECHNICIAN,5305
MAYOR,1190
MAYORAL STAFF I,881
MAYORAL STAFF II,882
MAYORAL STAFF III,883
MAYORAL STAFF IV,884
MAYORAL STAFF IX,889
MAYORAL STAFF V,885
MAYORAL STAFF VI,886
MAYORAL STAFF VII,887
MAYORAL STAFF VIII,888
MAYORAL STAFF X,890
MAYORAL STAFF XI,891
MAYORAL STAFF XII,892
MAYORAL STAFF XIII,901
MAYORAL STAFF XIV,902
MAYORAL STAFF XV,903
MAYORAL STAFF XVI,904
MAYORAL STAFF XVII,905
MECHANICAL SHOP AND EQUIPMENT SUPERINTENDENT,7126
MEDIA PRODUCTION SPECIALIST,1771
MEDIA PRODUCTION SUPERVISOR,1769
MEDIA PRODUCTION TECHNICIAN,1766
MEDIA PROGRAMMING SPECIALIST,1767
MEDIA TRAINING SPECIALIST,1773
MEDIA/SECURITY SYSTEMS SPECIALIST,1777
MEDIA/SECURITY SYSTEMS SUPERVISOR,1781
MEDICAL CLAIMS SUPERVISOR,8170
MEDICAL CLERK STENOGRAPHER,1464
MEDICAL EVALUATIONS ASSISTANT,2430
MEDICAL EXAMINERS INVESTIGATOR I,2577
MEDICAL EXAMINERS INVESTIGATOR II,2578
MEDICAL EXAMINERS INVESTIGATOR III,2579
MEDICAL RECORDS CLERK,2110
MEDICAL RECORDS TECHNICIAN,2112
MEDICAL RECORDS TECHNICIAN SUPERVISOR,2114
MEDICAL SOCIAL WORK SUPERVISOR,2924
MEDICAL SOCIAL WORKER,2920
MEDICAL STAFF SERVICES DEPARTMENT ANALYST,2107
MEDICAL STAFF SERVICES DEPARTMENT SPECIALIST,2106
MEDICAL TRANSCRIBER TYPIST,1440
"MEMBER, BOARD EDUCATION",135
"MEMBER, BOARD OF SUPERVISORS",720
MENTAL HEALTH TREATMENT SPECIALIST,2551
METAL FABRICATOR,7305
METALSMITH,7389
METER READER,1466
MICROBIOLOGIST,2462
MICROPHOTO/IMAGING TECHNICIAN,1750
MOBILE EQUIPMENT ASSISTANT SUPERVISOR,7110
MOBILE EQUIPMENT SUPERVISOR,7210
MORGUE ATTENDANT,2520
MUNICIPAL STADIUM GROUNDSKEEPER,3419
MUSEUM EXHIBIT PACKER AND REPAIRER,3502
MUSEUM GUARD,8226
MUSEUM PREPARATOR,3520
MUSEUM REGISTRAR,3556
MUSEUM SECURITY SUPERVISOR,8228
NURSE MANAGER,2322
NURSE MIDWIFE,2325
NURSE PRACTITIONER,2328
NURSERY SPECIALIST,3428
NURSES STAFFING ASSISTANT,1429
NURSING ASSISTANT,2302
NURSING SUPERVISOR,2324
NURSING SUPERVISOR PSYCHIATRIC,2326
NUTRITIONIST,2846
OCCUPATIONAL THERAPIST,2548
OFFICE ASSISTANT I (OCII),O895
OFFSET MACHINE OPERATOR,1760
"OPERATING ENGINEER, UNIVERSAL",7328
OPERATING ROOM NURSE,2340
OPTOMETRIST,2561
ORNAMENTAL IRON WORKER,7395
ORNAMENTAL IRON WORKER SUPERVISOR I,9342
ORTHOPEDIC TECHNICIAN I,2514
ORTHOPEDIC TECHNICIAN II,2515
PAINTER,7346
PAINTER SUPERVISOR I,7242
PAINTER SUPERVISOR II,7278
"PARENT AND COMMUNITY INVOLVEMENT COORDINATOR, SFUSD",9977
PARK PATROL OFFICER,8208
PARK SECTION SUPERVISOR,3422
PARKING CONTROL OFFICER,8214
PARKING ENFORCEMENT ADMINISTRATOR,8219
PARKING METER AND MACHINE SHOP MANAGER,7123
PARKING METER REPAIRER,7444
PARKING METER REPAIRER SUPERVISOR I,7243
PARTS STOREKEEPER,1929
PASSENGER SERVICE SPECIALIST,9135
PATIENT ACCOUNTS ASSISTANT SUPERVISOR,1662
PATIENT ACCOUNTS CLERK,1637
PATIENT ACCOUNTS MANAGER,1664
PATIENT ACCOUNTS SUPERVISOR,1663
PATIENT CARE ASSISTANT,2303
PATIENT SERVICES FINANCE TECHNICIAN,2105
PATTERN MAKER,7358
PAYROLL CLERK,1220
"PAYROLL DIRECTOR, SAN FRANCISCO UNIFIED SCHOOL DISTRICT",1236
PAYROLL MANAGER,1219
PAYROLL SUPERVISOR,1218
PERFORMANCE ANALYST I,1803
PERFORMANCE ANALYST II,1805
"PERFORMANCE ANALYST III,PROJECT MANAGER""",1830
"PERFORMING ARTS SCHOOL DIRECTOR, SFUSD",9985
PERMIT AND CITATION CLERK,9504
PERMIT TECHNICIAN I,6321
PERMIT TECHNICIAN II,6322
PERMIT TECHNICIAN III,6323
PERSONAL PROPERTY AUDITOR,4220
PERSONNEL ANALYST,1241
PERSONNEL CLERK,1202
PERSONNEL TECHNICIAN,1203
PERSONNEL TECHNICIAN TRAINEE,1201
PERSONNEL TRAINEE,1249
PHARMACIST,2450
PHARMACY HELPER,2406
PHARMACY TECHNICIAN,2409
PHOTOGRAPHER,1770
PHYSICAL THERAPIST,2556
PHYSICAL THERAPIST,2556G
PHYSICAL THERAPIST ASSISTANT,2555
"PHYSICIAN ADMINISTRATOR, DEPARTMENT OF PUBLIC HEALTH",1167
PHYSICIAN ASSISTANT,2218
PHYSICIAN SPECIALIST,2230
PIANIST,3246
PIANO TUNER,7359
PILE WORKER,9330
PILEDRIVER ENGINE OPERATOR,9331
PILEDRIVER SUPERVISOR I,9332
PILOT OF FIRE BOATS,H120
PIPE WELDER,7360
"PLAN CHECKER,ARCHITECTURAL""",6262
PLANNER I,5277
PLANNER II,5278
PLANNER III,5291
PLANNER III-ENVIRONMENTAL REVIEW,5298
PLANNER IV,5293
PLANNER IV-ENVIRONMENTAL REVIEW,5299
PLANNER TECHNICIAN,5275
PLANNER V,5283
PLASTERER,7361
PLUMBER,7347
PLUMBER SUPERVISOR I,7213
PLUMBER SUPERVISOR II,7239
PLUMBING INSPECTOR,6242
POLICE CADET,8274
POLICE OFFICER,Q002
POOL LIFEGUARD,3208
PORT DIRECTOR,9399
PORTER,2736
PORTER ASSISTANT SUPERVISOR,2738
PORTER SUPERVISOR I,2740
POWER GENERATION SUPERVISOR,7488
POWER GENERATION TECHNICIAN I,7480
POWER GENERATION TECHNICIAN II,7482
POWER HOUSE ELECTRICIAN SUPERVISOR I,7255
POWER HOUSE OPERATOR,7364
POWER PLANT SUPERVISOR I,7244
POWERHOUSE ELECTRICIAN SUPERVISOR II,7279
PRINCIPAL ACCOUNT CLERK,1634
PRINCIPAL ADMINISTRATIVE ANALYST,1824
PRINCIPAL ADMINISTRATIVE ANALYST II,1825
PRINCIPAL CLERK,1408
PRINCIPAL CUSTOMER SERVICE CLERK,MA07
PRINCIPAL DISEASE CONTROL INVESTIGATOR,2810
"PRINCIPAL DISTRICT ATTORNEYS INVESTIGATOR, SPECIAL UNIT",8150
PRINCIPAL ENVIRONMENTAL HEALTH INSPECTOR,6124
PRINCIPAL ENVIRONMENTAL SPECIALIST,5644
PRINCIPAL FARE COLLECTIONS RECEIVER,9117
"PRINCIPAL INVESTIGATOR, TAX COLLECTOR",4337
PRINCIPAL MUSEUM PREPARATOR,3524
PRINCIPAL PARTS STOREKEEPER,1935
PRINCIPAL PAYROLL AND PERSONNEL CLERK,1224
PRINCIPAL PERMIT AND CITATION CLERK,9508
PRINCIPAL PERSONAL PROPERTY AUDITOR,4224
PRINCIPAL PERSONNEL ANALYST,1246
PRINCIPAL REAL PROPERTY APPRAISER,4267
PRINCIPAL REAL PROPERTY OFFICER,4143
PRINCIPAL RECREATION SUPERVISOR,3291
PRINCIPAL WATER SERVICES CLERK,1480
"PRINCIPLE DISTRICT ATTORNEY INVESTIGATOR, SPECIAL UNIT (SFERS)",8558
PROBATION ASSISTANT,8529
PROGRAM MANAGER KALW,3532G
"PROGRAM MANAGER, BUSINESS AND ECONOMIC DEVELOPMENT",1849
"PROGRAM MANAGER, KALW RADIO STATION",3532
PROGRAM SPECIALIST,2913
PROGRAM SPECIALIST SUPERVISOR,2915
PROGRAM SUPPORT ANALYST,2917
PROJECT MANAGER I,5502
PROJECT MANAGER II,5504
PROJECT MANAGER III,5506
PROJECT MANAGER IV,5508
"PROPERTY MANAGER, PORT",9395
PROTECTIVE SERVICES SUPERVISOR,2944
PROTECTIVE SERVICES WORKER,2940
PSYCHIATRIC TECHNICIAN,2305
PUBLIC DEFENDER,8196
PUBLIC DEFENDERS INVESTIGATOR,8142
PUBLIC HEALTH NURSE,2830
PUBLIC INFORMATION OFFICER,1312
PUBLIC RELATIONS ASSISTANT,1310
"PUBLIC RELATIONS COORDINATOR, SFUSD",9980
PUBLIC RELATIONS MANAGER,9251
PUBLIC RELATIONS OFFICER,1314
PUBLIC SAFETY COMMUNICATIONS COORDINATOR,8240
PUBLIC SAFETY COMMUNICATIONS DISPATCHER,8238
PUBLIC SAFETY COMMUNICATIONS SUPERVISOR,8239
PUBLIC SAFETY COMMUNICATIONS TECHNICIAN,8237
"PUBLIC SERVICE AIDE,ADMINISTRATION""",9914
"PUBLIC SERVICE AIDE,ASSISTANT TO PROFESSIONALS""",9920
"PUBLIC SERVICE AIDE,ASSOCIATE TO PROFESSIONALS""",9922
"PUBLIC SERVICE AIDE,HEALTH SERVICES""",9924
"PUBLIC SERVICE AIDE,PUBLIC WORKS""",9916
"PUBLIC SERVICE AIDE,TECHNICAL""",9912
PUBLIC SERVICE TRAINEE,9910
PURCHASER,1952
"RADIO ANNOUNCER,OPERATOR""",3535
"REAL ESTATE DEVELOPMENT MANAGER, SFMTA",9151
REAL PROPERTY APPRAISER,4261
REAL PROPERTY APPRAISER TRAINEE,4260
REAL PROPERTY OFFICER,4140
RECREATION COORDINATOR,3286
RECREATION DIRECTOR,3284
RECREATION FACILITY ASSISTANT,3278
RECREATION LEADER,3279
RECREATION SPECIALIST,3283
RECREATION SUPERVISOR,3289
RECRUITER,1250
REGISTERED NURSE,2320
REGULATORY SPECIALIST,5620
REHABILITATION COUNSELOR,2566
REHABILITATION SERVICES COORDINATOR,8420
RENT BOARD SUPERVISOR,2982
"REPRESENTATIVE, COMMISSION ON THE STATUS OF WOMEN",2998
"REPRESENTATIVE, HUMAN RIGHTS COMMISSION",2996
RESEARCH ASSISTANT,1802
RESEARCH PSYCHOLOGIST,2575
RESPIRATORY CARE PRACTITIONER,2536
RESPIRATORY CARE PRACTITIONER II,2537
RIGGER,7370
ROOFER,9343
ROOFER SUPERVISOR I,9344
SAFETY ANALYST,6130
SAFETY OFFICER,5177
SCH CUST. SERV. SUPR.I,2732L
SCHOOL ARCHITECTURAL COORDINATOR,5269
SCHOOL CROSSING GUARD,8201
SCHOOL CUSTODIAN SUPERVISOR I,2727
SCHOOL FACILITIES PLANNER,5295
SCHOOL FOOD SERVICE AREA SUPERVISOR,2636
SCHOOL LUNCHROOM HELPER,2615
SCHOOL SECURITY AIDE,3596
SCHOOL TRANSPORTATION SCHEDULER,9176
SCHOOL TRANSPORTATION SUPERVISOR,9178
SCHOOLS WAREHOUSE SUPERVISOR,1939
SECRETARY I,1444
SECRETARY II,1446
"SECRETARY, BUILDING INSPECTION COMMISSION",1555
"SECRETARY, HEALTH COMMISSION",1551
"SECRETARY, HUMAN SERVICES COMMISSION",1548
"SECRETARY, JUVENILE PROBATION COMMISSION",1549
"SECRETARY, LIBRARY COMMISSION",1544
SECURITY ANALYST,4331
SECURITY CHIEF,8285
SECURITY GUARD,8202
SENIOR ACCOUNT CLERK,1632
SENIOR ADMINISTRATIVE ANALYST,1823
SENIOR AIRPORT COMMUNICATIONS DISPATCHER,9203
SENIOR AIRPORT NOISE ABATEMENT SPECIALIST,5271
SENIOR BEHAVIORAL HEALTH CLINICIAN,2932
SENIOR BENEFITS ANALYST,1813
SENIOR BOOK REPAIRER,7418
SENIOR BUILDING INSPECTOR,6333
SENIOR CENTRAL PROCESSING AND DISTRIBUTION TECHNICIAN,2392
SENIOR CLAIMS INVESTIGATOR,9156
"SENIOR CLAIMS INVESTIGATOR, CITY ATTORNEYS OFFICE",8152
SENIOR CLAIMS PROCESS CLERK,1476
SENIOR CLERK,1406
SENIOR CLERK TYPIST,1426
SENIOR COLLECTIONS OFFICER,4308
SENIOR COMMUNICATIONS SYSTEMS TECHNICIAN,7368
SENIOR COMMUNITY DEVELOPMENT SPECIALIST I,9774
SENIOR COMMUNITY DEVELOPMENT SPECIALIST II,9775
SENIOR CONTRUCTION INSPECTOR,6319
"SENIOR COUNSELOR, JUVENILE HALL",8322
"SENIOR COUNSELOR, JUVENILE HALL (SFERS)",8568
SENIOR CUSTOMER SERVICE CLERK,MA06
SENIOR DATA ENTRY OPERATOR,1721
SENIOR DEPARTMENTAL PERSONNEL OFFICER,1272
SENIOR DEPUTY SHERIFF,8306
SENIOR DEPUTY SHERIFF (SFERS),8506
SENIOR DISEASE CONTROL INVESTIGATOR,2808
SENIOR DISTRICT ATTORNEYS INVESTIGATOR,8147
SENIOR DISTRICT ATTORNEY'S INVESTIGATOR (SFERS),8552
SENIOR ELECTRICAL INSPECTOR,6249
SENIOR ELECTROCARDIOGRAPH TECHNICIAN,2434
SENIOR EMPLOYEE ASSISTANCE COUNSELOR,2595
SENIOR EMPLOYEE RELATIONS REPRESENTATIVE,1281
"SENIOR EMPLOYEE RELATIONS REPRESENTATIVE, SFCCD",C128
SENIOR ENVIRONMENTAL HEALTH INSPECTOR,6122
SENIOR ENVIRONMENTAL SPECIALIST,5642
SENIOR ESTATE INVESTIGATOR,4231
SENIOR FARE COLLECTIONS RECEIVER,9116
SENIOR FOOD SERVICE SUPERVISOR,2619
SENIOR FOOD SERVICE WORKER,2606
SENIOR GENERAL UTILITY MECHANIC,7330
SENIOR HEALTH EDUCATOR,2825
SENIOR HEALTH PROGRAM PLANNER,2820
SENIOR HOSPITAL ELIGIBILITY WORKER,2908
SENIOR HOUSING INSPECTOR,6272
SENIOR INDUSTRIAL HYGIENIST,6139
SENIOR INTEGRATED PEST MANAGEMENT SPECIALIST,3425
SENIOR INVENTORY CLERK,1922
"SENIOR INVESTIGATOR, OFFICE OF CITIZEN COMPLAINTS",8126
"SENIOR INVESTIGATOR, TAX COLLECTOR",4335
"SENIOR LABOR RELATIONS REPRESENTATIVE, SFUSD",1261
"SENIOR LABOR RELATIONS REPRESENTATIVE,SFMTA",9531
SENIOR LAUNDRY WORKER,2770
SENIOR LEGAL PROCESS CLERK,8108
SENIOR LIGHT RAIL VEHICLE EQUIPMENT ENGINEER,9196
SENIOR MAINTENANCE CONTROLLER,7241
SENIOR MANAGEMENT ASSISTANT,1844
"SENIOR MARRIAGE, FAMILY & CHILD COUNSELOR",2935
SENIOR MATERIALS AND SUPPLIES SUPERVISOR,1926
SENIOR MEDICAL SOCIAL WORKER,2922
SENIOR MEDICAL TRANSCRIBER TYPIST,1441
SENIOR MICROBIOLOGIST,2464
SENIOR MICROPHOTO/IMAGING TECHNICIAN,1752
SENIOR MORGUE ATTENDANT,2522
SENIOR MUSEUM PREPARATOR,3522
SENIOR MUSEUM REGISTRAR,3558
SENIOR OCCUPATIONAL THERAPIST,2550
SENIOR OFFSET MACHINE OPERATOR,1762
SENIOR OPERATIONS MANAGER,9143
SENIOR PARKING CONTROL OFFICER,8216
SENIOR PARTS STOREKEEPER,1931
SENIOR PAYROLL AND PERSONNEL CLERK,1222
SENIOR PERMIT AND CITATION CLERK,9506
SENIOR PERSONAL PROPERTY AUDITOR,4222
SENIOR PERSONNEL ANALYST,1244
SENIOR PERSONNEL CLERK,1204
SENIOR PHARMACY HELPER,2408
SENIOR PHYSICAL THERAPIST,2558
SENIOR PHYSICIAN SPECIALIST,2232
SENIOR PLAN CHECKER,6266
SENIOR PLUMBING INSPECTOR,6246
SENIOR PORTFOLIO MANAGER,1114
SENIOR POWER GENERATION TECHNICIAN,7484
SENIOR POWER HOUSE OPERATOR,7365
"SENIOR PROPERTY MANAGER, PORT",9386
SENIOR PSYCHIATRIC ORDERLY,2306
SENIOR PUBLIC DEFENDERS INVESTIGATOR,8143
SENIOR PURCHASER,1956
SENIOR REAL PROPERTY APPRAISER,4265
SENIOR REAL PROPERTY OFFICER,4142
SENIOR SOCIAL WORKER,2912
SENIOR STATIONARY ENGINEER,7335
"SENIOR STATIONARY ENGINEER, SEWAGE PLANT",7373
"SENIOR STATIONARY ENGINEER, WATER TREATMENT PLANT",7343
SENIOR STATISTICIAN,1806
SENIOR STOREKEEPER,1936
SENIOR STREET INSPECTOR,6231
SENIOR STRUCTURAL ENGINEER,5219
"SENIOR SUPERVISING PROBATION OFFICER, JUVENILE PROBATION",8415
"SENIOR SUPERVISING PROBATION OFFICER, JUVENILE PROBATION (SFERS)",8540
SENIOR SWIMMING INSTRUCTOR,3214
SENIOR TELEPHONE OPERATOR,1708
SENIOR TESTING TECHNICIAN,1228
SENIOR TRANSCRIBER TYPIST,1432
SENIOR TRANSIT INFORMATION CLERK,9124
SENIOR TRANSIT TRAFFIC CHECKER,9128
SENIOR UNIT CLERK,1431
SENIOR WATER SERVICE INSPECTOR,7317
SENIOR WATER SERVICES CLERK,1478
"SERGEANT, (POLICE DEPARTMENT)",Q050
SERVICES AND SUPPLY ASSISTANT SUPERVISOR,1470
SEWAGE TREATMENT PLANT SUPERINTENDENT,5130
SEWER MAINTENANCE WORKER,7421
SEWER REPAIR SUPERVISOR,7246
SEWER SERVICE WORKER,7449
SEWING TECHNICIAN,2772
SHADE AND DRAPERY WORKER,7450
SHEET METAL SUPERVISOR I,9345
SHEET METAL WORKER,7376
SHEET METAL WORKER SUPERVISOR II,7247
SHELTER OFFICE ASSISTANT SUPERVISOR,1437
SHELTER OFFICER SUPERVISOR,1435
SHELTER SERVICE REPRESENTATIVE,1434
SHELTER VETERINARIAN,2292
SHERIFF,8350
SHERIFF (SFERS),8520
SHERIFFS CADET,8300
SHERIFFS CAPTAIN,8312
SHERIFF'S CAPTAIN (SFERS),8512
SHERIFFS LIEUTENANT,8310
SHERIFF'S LIEUTENANT (SFERS),8510
SHERIFFS PROPERTY KEEPER,8301
SHERIFFS SERGEANT,8308
SHERIFF'S SERGEANT (SFERS),8508
SIGN WORKER,7457
SIGNAL AND SYSTEMS ENGINEER,9197
SOCIAL WORK SPECIALIST,2916
SOCIAL WORK SUPERVISOR,2914
SOCIAL WORKER,2910
SOFT FLOOR COVERER,7393
SOFT FLOOR COVERER SUPERVISOR,7394
SPECIAL ASSISTANT I,1360
SPECIAL ASSISTANT II,1361
SPECIAL ASSISTANT III,1362
SPECIAL ASSISTANT IV,1363
SPECIAL ASSISTANT IX,1368
SPECIAL ASSISTANT V,1364
SPECIAL ASSISTANT VI,1365
SPECIAL ASSISTANT VII,1366
SPECIAL ASSISTANT VIII,1367
SPECIAL ASSISTANT X,1369
SPECIAL ASSISTANT XI,1370
SPECIAL ASSISTANT XII,1371
SPECIAL ASSISTANT XIII,1372
SPECIAL ASSISTANT XIV,1373
SPECIAL ASSISTANT XIX,1378
SPECIAL ASSISTANT XV,1374
SPECIAL ASSISTANT XVI,1375
SPECIAL ASSISTANT XVII,1376
SPECIAL ASSISTANT XVIII,1377
SPECIAL ASSISTANT XX,1379
SPECIAL ASSISTANT XXI,1380
SPECIAL ASSISTANT XXII,1381
SPECIAL EXAMINER,1229
SPECIAL NURSE,P103
SPECIAL SERVICES OFFICER,H029
SPECIALIST IN AGING II,9722
SPEECH PATHOLOGIST,2542
STABLE ATTENDANT,3310
STAGE ELECTRICIAN,7377
"STATION AGENT, MUNICIPAL RAILWAY",9131
STATIONARY ENGINEER,7334
"STATIONARY ENGINEER, SEWAGE PLANT",7372
"STATIONARY ENGINEER, WATER TREATMENT PLANT",7341
STATISTICIAN,1804
STEAMFITTER,7348
STEAMFITTER SUPERVISOR I,7349
STEAMFITTER SUPERVISOR II,7248
STOREKEEPER,1934
STORES AND EQUIPMENT ASSISTANT SUPERVISOR,1938
STREET ENVIRONMENTAL SERVICES OPERATIONS SUPERVISOR,7281
STREET INSPECTION SUPERVISOR,6232
STREET INSPECTOR,6230
STREET REPAIR SUPERVISOR II,7282
STRUCTURAL ENGINEER,5218
"STUDENT DESIGN TRAINEE I, ARCH., ENGR., & PLANNING",5380
"STUDENT DESIGN TRAINEE II, ARCH, ENGR, & PLANNING",5381
"STUDENT DESIGN TRAINEE III, ARCH, ENGR, & PLANNING",5382
STUDENT INTERN,1401
STUDENT SERVICES SPECIALIST,1490
SUPERINTENDENT OF WATER TREATMENT FACILITIES,5149
SUPERVISING ADULT PROBATION OFFICER,8434
SUPERVISING ADULT PROBATION OFFICER (SFERS),8534
SUPERVISING BIOLOGIST,2485
SUPERVISING BUILDING AND GROUNDS PATROL OFFICER,8211
SUPERVISING CHEMIST,2488
SUPERVISING CLINICAL PSYCHOLOGIST,2576
"SUPERVISING COUNSELOR, JUVENILE COURT",8324
"SUPERVISING COUNSELOR, JUVENILE COURT (SFERS)",8572
SUPERVISING ELECTRONIC MAINTENANCE TECHNICIAN,7287
SUPERVISING FISCAL OFFICER,1675
SUPERVISING PARTS STOREKEEPER,1937
SUPERVISING PHARMACIST,2453
SUPERVISING PHYSICIAN SPECIALIST,2233
"SUPERVISING PROBATION OFFICER, JUVENILE COURT",8414
"SUPERVISING PROBATION, OFFICER, JUVENILE COURT (SFERS)",8532
SUPERVISING PURCHASER,1958
SUPERVISING WASTEWATER CONTROL INSPECTOR,6116
SUPERVISING WELFARE FRAUD INVESTIGATOR,2967
"SUPERVISOR, TRAFFIC AND STREET SIGNS",5303
SUPPLY ROOM ATTENDENT,2608
SURGICAL PROCEDURES TECHNICIAN,2310
SURVEY ASSISTANT I,5310
SURVEY ASSISTANT II,5312
SURVEY ASSOCIATE,5314
SWIMMING INSTRUCTOR,3209
SWIMMING INSTRUCTOR/POOL LIFEGUARD,3210
SWITCH REPAIRER,7458
SYSTEMS ACCOUNTANT,1655
SYSTEMS AND PROCEDURES SUPERVISOR,1866
"TECH TRN SPC, FIRE DEPT",H016
